text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
查询8月4号，温州到泸州，MU5862航班，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
我就想问一下，三月二十五号，ｍｕ零五八七，那个航班去纽约的，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
嗯麻烦请看一下7月1号有没有去台湾的机票，,预订客票,4,预订客票或兑换积分,预订客票
呃我们订的票，需要报销能不能弄个电子发票发给我们，,申请及查询电子发票,40,配送行程单,申请及查询电子发票
啊因为我7月14号订一张机票乌鲁木齐到上海的然后上海到临沂说那张机票已经取消掉了我想问一下怎么退，转人工服务好吗？,办理航班退票,3,人工服务,办理航班退票
票号已经出来然后嗯请票号到登机口直接就可以登机了吧，,咨询登机口问题,56,验证电子客票,咨询登机口问题
我在买的联程联程的机票，这一天，改签那那一程的票为什么不能全退啊，,办理客票改期,2,办理航班退票,办理客票改期
遇老太太做去，行李拿两件行吗？,咨询托运及非托运行李规定,33,办理高龄老人,咨询托运及非托运行李规定
嗯我想订一张机票是今年七月从纽约直飞上海浦东的飞机票，,预订客票或兑换积分,21,验证电子客票,预订客票或兑换积分
帮我查询一下，十七号常州到大连的飞机票，,预订客票或兑换积分,21,预订客票或验证电子客票,预订客票或兑换积分
请帮我查查为什么退票没有退成功，,办理航班退票,3,查询机票退款进度,办理航班退票
我想请问一下我的航班到底改成几点钟了，,查询航班动态,11,办理客票改期,查询航班动态
可以把购票信息发到我的邮箱里吗？,配送行程单,15,申请及查询电子发票,配送行程单
就是信息呢，到新西兰的，航空779航班还有吗？,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
英国到中国的，国际航班6月15号飞机的情况，,查询航班动态或预订客票,16,预订客票,查询航班动态或预订客票
我想问一下东航最近什么时候开始放票，,预订客票,4,查询航班动态或预订客票,预订客票
我订的机票是二十一号的，到成都的，怎么钱交了没有信息啊，,验证电子客票,12,预订客票,验证电子客票
那个呃退票的时候，出现这个，您已值机，然后没法在线上，退票怎么办呢这个，,办理航班退票,3,取消值机,办理航班退票
