text,intent,labelIndex
can you show me flights from dallas to atlanta on tuesday night,flight,0
is there ground transportation from atlanta airport to downtown atlanta,ground_service,4
are there any limousines or taxi services available at the boston airport,ground_service,4
on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,flight,0
how do i get from the airport to downtown in tacoma,flight,0
tuesday morning flights between charlotte and baltimore,flight,0
show me flights from atlanta to washington,flight,0
show me all flights from atlanta to san francisco which leave atlanta after 5 o'clock pm tomorrow,flight,0
round trip fares from denver to philadelphia less than 1000 dollars,airfare,2
i want to fly from milwaukee to orlando on wednesday evening,flight,0
how many daily us air flights are there between philadelphia and pittsburgh,quantity,10
show me all the northwest flights from new york to milwaukee that leave at 720 am,flight,0
how long does it take to get from atlanta airport into the city of atlanta,distance,7
what 's the cheapest way to fly between atlanta and denver,flight,0
what are the fares for flights from la to newark leaving monday morning,airfare,2
give me the list of flights for continental airlines between boston and denver,flight,0
can i see ground transportation from long beach airport to downtown,ground_service,4
i want a flight from atlanta to pittsburgh,flight,0
us 201,flight,0
what flights are available from pittsburgh to oakland airport,flight,0
afternoon flight from denver to san francisco,flight,0
show me all the flights from charlotte to cleveland,flight,0
show me the flights on twa to atlanta in the morning,flight,0
do all the flights to oakland land at the same place,flight,0
show me the flights from st. petersburg to toronto that arrive before noon,flight,0
how much is a first class ticket from baltimore to san francisco,airfare,2
please give me all flights from long beach to memphis,flight,0
i want to fly nonstop from denver to dallas,flight,0
what is the earliest flight leaving boston on july first to dallas on july first,flight,0
i 'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,flight,0
show me the flights from denver to san diego leaving after 5 pm,flight,0
what flights go from san francisco to washington via indianapolis,flight,0
can you help me with ground transportation information i need to get from the airport in philadelphia to downtown philadelphia,ground_service,4
show me the earliest flight on wednesday from baltimore to newark,flight,0
could you please give me the round trip fare from denver to atlanta,airfare,2
show sunday flights from seattle to chicago,flight,0
what flights depart from pittsburgh and arrive in oakland california,flight,0
flights from houston to los angeles departing after 1026,flight,0
i would like a flight from pittsburgh to san francisco on august twentieth,flight,0
show me flights from dallas to atlanta,flight,0
please give all flights from dallas to oakland california monday,flight,0
what flights are available wednesday morning from boston to denver,flight,0
show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth,flight,0
list the morning flights at a 124 dollars from atlanta to boston,flight,0
show me the flights from denver to philadelphia on a saturday,flight,0
i need to fly from boston to denver and then to san francisco and back to boston,flight,0
what is the cheapest flight on american airlines from cleveland to miami,flight,0
show me flights available from atlanta to baltimore leaving on monday morning,flight,0
what 's the earliest flight from pittsburgh to baltimore on thursday morning,flight,0
what ground transportation is available in boston,ground_service,4
what is the latest flight leaving pittsburgh returning to denver,flight,0
does lufthansa fly between boston and oakland,flight,0
show me flights from boston to washington leaving july fifteen,flight,0
list all the landings at general mitchell international,flight,0
how many first class flights does delta have today,quantity,10
are there any nonstop flights from indianapolis to san diego on wednesday may twelfth,flight,0
what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm,flight,0
please list the flights from dallas fort worth to boston on july twenty third,flight,0
hello i would like to plan a flight on american airlines from boston to denver,flight,0
what are the two american airlines flights that leave from dallas to san francisco in the evening,flight,0
what flights do you have from baltimore to san francisco,flight,0
i 'd like a nonstop flight from indianapolis to san diego that serves dinner what 's available,flight,0
what times on wednesday could i take a plane from denver to oakland,flight_time,1
show me ground transportation for boston,ground_service,4
are there any flights from boston to san francisco which stop in denver,flight,0
what airlines have business class,airline,6
please give me all flights from long beach to memphis,flight,0
flight from denver to dallas fort worth,flight,0
list flights from san francisco to pittsburgh,flight,0
i 'd like to know what type of plane flies from boston to dallas fort worth after 530,aircraft,3
please tell me the times of the flights between boston and baltimore,flight_time,1
find a flight from philadelphia to san francisco please on delta,flight,0
what is the cost of a ticket going from denver to boston july twenty fifth 1991,airfare,2
flight numbers from minneapolis to long beach on june twenty six,flight_no,12
i 'm looking for a flight from oakland to denver with a stopover in dallas fort worth,flight,0
show me first class airlines from san francisco to pittsburgh on next tuesday first class only,airline,6
what flights are there on saturdays from philadelphia to denver,flight,0
i need a flight from denver to washington dc on wednesday,flight,0
show me the flights from columbus to charlotte,flight,0
oh let 's see does eastern airline have a flight from atlanta to washington,flight,0
what is the price of business class from boston to san francisco on twa,airfare,2
flights from atlanta to dallas in the afternoon,flight,0
eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,flight,0
what are all the flights between san francisco and boston,flight,0
define airline us,abbreviation,8
i want to fly philadelphia to san francisco on july eighth,flight,0
find a flight from boston to washington on monday,flight,0
give me information on flights from atlanta to washington dc on wednesday after 4 pm and thursday before 9 am,flight,0
find the flights from boston to san francisco leaving after 6 pm,flight,0
show me the cheapest fare from dallas to baltimore,airfare,2
i live in denver and i 'd like to make a trip to pittsburgh,flight,0
give me flights that arrive in baltimore from atlanta denver and pittsburgh,flight,0
hello i 'm trying to find a flight that goes from pittsburgh to denver after 2 pm,flight,0
what airlines fly between boston and san francisco,airline,6
code ff,abbreviation,8
what is the earliest flight from boston to san francisco on november seventh,flight,0
list all flights from boston to san francisco on us air,flight,0
i would like a list of flights from pittsburgh to dallas,flight,0
on november twenty third of this year 1991 i 'd like to fly from atlanta to denver and i 'd like to fly on delta,flight,0
do you have any airlines that would stop at denver on the way from baltimore to san francisco,airline,6
list all flights from tampa florida to miami that are the cheapest one way,flight,0
list the nonstop flights on wednesday june second from miami to baltimore arriving in baltimore between 1115 am and 1245 pm,flight,0
give me flights from san francisco to boston on thursday afternoon,flight,0
denver to atlanta,flight,0
what 's the last flight leaving from pittsburgh to oakland,flight,0
does any airline have an afternoon flight from boston to oakland,airline,6
do you have a flight from philadelphia to san francisco with a stopover in dallas,flight,0
i want to make a trip from washington to san francisco,flight,0
i would like information on flights leaving atlanta in the afternoon arriving in dallas,flight,0
show me all flights from san diego to new york nonstop,flight,0
show me all flights with fares from pittsburgh to san francisco,flight,0
what are the flights from milwaukee to tampa,flight,0
list the flights from salt lake city to st. petersburg,flight,0
what are the least expensive flights from denver to atlanta,flight,0
list united flights from denver to san francisco on tuesdays or wednesdays,flight,0
show me the flights on delta or twa which go through atlanta,flight,0
is there a flight leaving san francisco to denver,flight,0
show flights leaving boston on wednesday morning and arriving in denver,flight,0
what airlines fly from boston to atlanta,airline,6
cheapest fare from indianapolis to seattle,airfare,2
show me all daily flights out of boston that have coach class,flight,0
i need an early flight from denver to san francisco please and i would like breakfast served on that,flight,0
dallas to baltimore,flight,0
may i have a listing of flights on monday from minneapolis to long beach california please,flight,0
630 am flight on august twenty seventh from atlanta to dallas,flight,0
i need a flight from philadelphia to san francisco next wednesday,flight,0
now show me the flights from denver to philadelphia on a saturday,flight,0
what is the total seating capacity of all aircraft of american airlines,capacity,13
show me all flights from denver to burbank,flight,0
show me all flights from san francisco that go to boston baltimore or philadelphia,flight,0
please list all the flights from boston to san francisco leaving before 10 am,flight,0
shortest flights from nashville to st. petersburg,flight,0
what delta flights from cincinnati to new york city arrive at new york city before 6 pm on saturday,flight,0
all fares and flights from philadelphia,airfare,2
are there any flights from denver to atlanta which connect in pittsburgh,flight,0
show me the flights from newark new jersey to ontario international next saturday,flight,0
show all nonstop flights from boston to atlanta,flight,0
give me the flights from new york to las vegas and memphis to las vegas on sunday,flight,0
what does ea mean,abbreviation,8
show me the southwest airlines flights from san diego to san francisco,flight,0
what is the first class fare for a round trip dallas to denver,airfare,2
show me times for coach flights between boston and baltimore on wednesday,flight_time,1
what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night,flight,0
show me the flights from denver to westchester county,flight,0
show me the earliest flight on wednesday from baltimore to newark,flight,0
find me the earliest flight from boston to atlanta and the latest return to boston on the same day,flight,0
what is airline dl,airline,6
show me all flights from san francisco to atlanta,flight,0
i 'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth,flight,0
what are the flights available in the morning between denver and san francisco,flight,0
does delta airlines fly from boston to washington dc,flight,0
do you fly a 747 from baltimore to san francisco,flight,0
flights from baltimore to dallas,flight,0
what do you have tomorrow morning from pittsburgh to atlanta,flight,0
i would like some information on the earliest flights you have leaving atlanta arriving in denver,flight,0
what flights are there from cleveland to miami on us air that arrive in miami before 4 pm,flight,0
i need information on flights leaving philadelphia on friday arriving in oakland california,flight,0
what flights are available from denver to san francisco,flight,0
i would like a flight from atlanta to dallas on friday that arrives in dallas by 6 pm,flight,0
please list the flights for me that leave dallas on tuesday morning and arrive in atlanta,flight,0
all flights from baltimore to atlanta between 1 o'clock and 3 o'clock in the afternoon,flight,0
round trip fares from baltimore to philadelphia under 1000 dollars,airfare,2
show me the flights from philadelphia to dallas that stop in atlanta,flight,0
i need to fly from baltimore to dallas on tuesday evening,flight,0
flights from newark to cleveland daily 5 o'clock pm,flight,0
give me a flight between boston and denver,flight,0
show me all flights from san francisco to boston philadelphia or baltimore,flight,0
show flights between boston and denver,flight,0
what is the latest flight on wednesday going from atlanta to washington dc,flight,0
what is the cheapest ticket from baltimore to san francisco on friday august thirtieth,airfare,2
i 'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,airfare,2
i would like a flight on american airlines from baltimore to san francisco with a stop in denver,flight,0
what is the fare going one way on november seventh from denver to oakland,airfare,2
is there a flight on united airlines from boston to denver,flight,0
show me the evening flights from philadelphia to atlanta,flight,0
show me ground transportation in philadelphia on monday morning,ground_service,4
tell me about flights from toronto to salt lake city,flight,0
i would like an american flight from toronto to san diego with a stopover in denver please,flight,0
what 's the cheapest one way flight from oakland to boston,flight,0
i want to fly from baltimore to dallas round trip,flight,0
show me the one way flights from atlanta to pittsburgh,flight,0
flights on sunday from tampa to charlotte,flight,0
find travel arrangements for a round trip flight from dallas to pittsburgh,flight,0
what is the least expensive one way fare from boston to pittsburgh,airfare,2
what is the latest flight in the day to arrive in boston from baltimore,flight,0
what is the cheapest flight from denver to pittsburgh,flight,0
show me the flights from denver to pittsburgh and atlanta,flight,0
does twa have a flight from indianapolis to houston arriving at 11 am,flight,0
i need to know what flights leave atlanta on sunday evening and arrive in baltimore,flight,0
i 'd like to find a us air flight from orlando to cleveland that arrives around 10 o'clock in the evening,flight,0
