,text,intent,labelIndex,queryCut,queryCutRMStopWord,queryFinal
0,listen to westbam alumb allergic on google music,PlayMusic,0,"['listen', 'to', 'westbam', 'alumb', 'allergic', 'on', 'google', 'music']","['listen', 'to', 'westbam', 'alumb', 'allergic', 'on', 'google', 'music']","['listen', 'to', 'on', 'google', 'music']"
1,add step to me to the 50 clásicos playlist ,AddToPlaylist,1,"['add', 'step', 'to', 'me', 'to', 'the', '50', 'clásicos', 'playlist']","['add', 'step', 'to', 'me', 'to', 'the', '50', 'clásicos', 'playlist']","['add', 'step', 'to', 'me', 'to', 'the', '50', 'clásicos', 'playlist']"
2,i give this current textbook a rating value of 1 and a best rating of 6,RateBook,2,"['i', 'give', 'this', 'current', 'textbook', 'a', 'rating', 'value', 'of', '1', 'and', 'a', 'best', 'rating', 'of', '6']","['i', 'give', 'this', 'current', 'textbook', 'a', 'rating', 'value', 'of', '1', 'and', 'a', 'best', 'rating', 'of', '6']","['i', 'give', 'this', 'current', 'textbook', 'a', 'rating', 'value', 'of', '1', 'and', 'a', 'best', 'rating', 'of', '6']"
3,play the song little robin redbreast,PlayMusic,0,"['play', 'the', 'song', 'little', 'robin', 'redbreast']","['play', 'the', 'song', 'little', 'robin', 'redbreast']","['play', 'the', 'song', 'little', 'robin']"
4,please add iris dement to my playlist this is selena,AddToPlaylist,1,"['please', 'add', 'iris', 'dement', 'to', 'my', 'playlist', 'this', 'is', 'selena']","['please', 'add', 'iris', 'dement', 'to', 'my', 'playlist', 'this', 'is', 'selena']","['please', 'add', 'to', 'my', 'playlist', 'this', 'is']"
5,add slimm cutta calhoun to my this is prince playlist  ,AddToPlaylist,1,"['add', 'slimm', 'cutta', 'calhoun', 'to', 'my', 'this', 'is', 'prince', 'playlist']","['add', 'slimm', 'cutta', 'calhoun', 'to', 'my', 'this', 'is', 'prince', 'playlist']","['add', 'to', 'my', 'this', 'is', 'prince', 'playlist']"
6,i want to listen to seventies music ,PlayMusic,0,"['i', 'want', 'to', 'listen', 'to', 'seventies', 'music']","['i', 'want', 'to', 'listen', 'to', 'seventies', 'music']","['i', 'want', 'to', 'listen', 'to', 'seventies', 'music']"
7,play a popular chant by brian epstein,PlayMusic,0,"['play', 'a', 'popular', 'chant', 'by', 'brian', 'epstein']","['play', 'a', 'popular', 'chant', 'by', 'brian', 'epstein']","['play', 'a', 'popular', 'chant', 'by', 'brian']"
8,find fish story ,SearchScreeningEvent,3,"['find', 'fish', 'story']","['find', 'fish', 'story']","['find', 'fish', 'story']"
9,book a spot for 3 in mt,BookRestaurant,4,"['book', 'a', 'spot', 'for', '3', 'in', 'mt']","['book', 'a', 'spot', 'for', '3', 'in', 'mt']","['book', 'a', 'spot', 'for', '3', 'in', 'mt']"
10,i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,GetWeather,5,"['i', 'need', 'a', 'forecast', 'for', 'jetmore', 'massachusetts', 'in', '1', 'hour', 'and', '1', 'second', 'from', 'now']","['i', 'need', 'a', 'forecast', 'for', 'jetmore', 'massachusetts', 'in', '1', 'hour', 'and', '1', 'second', 'from', 'now']","['i', 'need', 'a', 'forecast', 'for', 'massachusetts', 'in', '1', 'hour', 'and', '1', 'second', 'from', 'now']"
11,rate this series a 5,RateBook,2,"['rate', 'this', 'series', 'a', '5']","['rate', 'this', 'series', 'a', '5']","['rate', 'this', 'series', 'a', '5']"
12,give me a list of movie times for films in the area ,SearchScreeningEvent,3,"['give', 'me', 'a', 'list', 'of', 'movie', 'times', 'for', 'films', 'in', 'the', 'area']","['give', 'me', 'a', 'list', 'of', 'movie', 'times', 'for', 'films', 'in', 'the', 'area']","['give', 'me', 'a', 'list', 'of', 'movie', 'times', 'for', 'films', 'in', 'the', 'area']"
13,can you play me some eighties music by adele,PlayMusic,0,"['can', 'you', 'play', 'me', 'some', 'eighties', 'music', 'by', 'adele']","['can', 'you', 'play', 'me', 'some', 'eighties', 'music', 'by', 'adele']","['can', 'you', 'play', 'me', 'some', 'eighties', 'music', 'by']"
14,please let me know the weather forcast of stanislaus national forest far in nine months,GetWeather,5,"['please', 'let', 'me', 'know', 'the', 'weather', 'forcast', 'of', 'stanislaus', 'national', 'forest', 'far', 'in', 'nine', 'months']","['please', 'let', 'me', 'know', 'the', 'weather', 'forcast', 'of', 'stanislaus', 'national', 'forest', 'far', 'in', 'nine', 'months']","['please', 'let', 'me', 'know', 'the', 'weather', 'forcast', 'of', 'national', 'forest', 'far', 'in', 'nine', 'months']"
15,book a restaurant for eight people in six years   ,BookRestaurant,4,"['book', 'a', 'restaurant', 'for', 'eight', 'people', 'in', 'six', 'years']","['book', 'a', 'restaurant', 'for', 'eight', 'people', 'in', 'six', 'years']","['book', 'a', 'restaurant', 'for', 'eight', 'people', 'in', 'six', 'years']"
16,i need to book a restaurant in fork mountain  sc for valarie  mari and i,BookRestaurant,4,"['i', 'need', 'to', 'book', 'a', 'restaurant', 'in', 'fork', 'mountain', 'sc', 'for', 'valarie', 'mari', 'and', 'i']","['i', 'need', 'to', 'book', 'a', 'restaurant', 'in', 'fork', 'mountain', 'sc', 'for', 'valarie', 'mari', 'and', 'i']","['i', 'need', 'to', 'book', 'a', 'restaurant', 'in', 'mountain', 'sc', 'for', 'and', 'i']"
17,add to playlist confidence boost here comes santa claus,AddToPlaylist,1,"['add', 'to', 'playlist', 'confidence', 'boost', 'here', 'comes', 'santa', 'claus']","['add', 'to', 'playlist', 'confidence', 'boost', 'here', 'comes', 'santa', 'claus']","['add', 'to', 'playlist', 'confidence', 'here', 'comes']"
18,book a restaurant at sixteen o clock in sc,BookRestaurant,4,"['book', 'a', 'restaurant', 'at', 'sixteen', 'o', 'clock', 'in', 'sc']","['book', 'a', 'restaurant', 'at', 'sixteen', 'o', 'clock', 'in', 'sc']","['book', 'a', 'restaurant', 'at', 'sixteen', 'o', 'clock', 'in', 'sc']"
19,add another artist to the spotlight on country 2016 playlist  ,AddToPlaylist,1,"['add', 'another', 'artist', 'to', 'the', 'spotlight', 'on', 'country', '2016', 'playlist']","['add', 'another', 'artist', 'to', 'the', 'spotlight', 'on', 'country', '2016', 'playlist']","['add', 'another', 'artist', 'to', 'the', 'spotlight', 'on', 'country', '2016', 'playlist']"
20,find a movie house showing cage without a key,SearchScreeningEvent,3,"['find', 'a', 'movie', 'house', 'showing', 'cage', 'without', 'a', 'key']","['find', 'a', 'movie', 'house', 'showing', 'cage', 'without', 'a', 'key']","['find', 'a', 'movie', 'house', 'showing', 'without', 'a', 'key']"
21,add sugarolly days to my list  your favorite slaughterhouse,AddToPlaylist,1,"['add', 'sugarolly', 'days', 'to', 'my', 'list', 'your', 'favorite', 'slaughterhouse']","['add', 'sugarolly', 'days', 'to', 'my', 'list', 'your', 'favorite', 'slaughterhouse']","['add', 'days', 'to', 'my', 'list', 'your', 'favorite']"
22,show me the picture creatures of light and darkness,SearchCreativeWork,6,"['show', 'me', 'the', 'picture', 'creatures', 'of', 'light', 'and', 'darkness']","['show', 'me', 'the', 'picture', 'creatures', 'of', 'light', 'and', 'darkness']","['show', 'me', 'the', 'picture', 'creatures', 'of', 'light', 'and', 'darkness']"
23,search for the adventures of cookie & cream,SearchCreativeWork,6,"['search', 'for', 'the', 'adventures', 'of', 'cookie', '&', 'cream']","['search', 'for', 'the', 'adventures', 'of', 'cookie', '&', 'cream']","['search', 'for', 'the', 'adventures', 'of', '&', 'cream']"
24,add this track to my global funk,AddToPlaylist,1,"['add', 'this', 'track', 'to', 'my', 'global', 'funk']","['add', 'this', 'track', 'to', 'my', 'global', 'funk']","['add', 'this', 'track', 'to', 'my', 'global', 'funk']"
