text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
我要接通，银行客服，,人工服务,13,咨询银行联名卡业务,咨询银行联名卡业务
"想咨询,十几岁的孩子可以,航空公司帮忙乘机吗",办理无成人陪伴儿童,18,咨询乘机证件规定,办理患病旅客
你好我今天办了一个改签，可是我，到机场打机票的时候他告诉我说我是退票，我不是在，东航ａｐｐ上做的是改签吗？,验证电子客票,12,办理客票改期,办理客票改期
查询8月4号，温州到泸州，MU5862航班，,查询航班动态或预订客票,16,查询航班动态,查询航班动态或预订客票
帮我查查一下航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态或预订客票
查询机票变动，,验证电子客票,12,预订客票或验证电子客票,办理客票改期
我就想问一下，三月二十五号，ｍｕ零五八七，那个航班去纽约的，,查询航班动态,11,查询航班动态或预订客票,查询航班动态
嗯麻烦请看一下7月1号有没有去台湾的机票，,预订客票,4,预订客票或兑换积分,预订客票
"行好我的护照买票了,收到一个是一个杠,那就是一个字,字母,帮我改签一下,飞机啊,班机",办理客票改期,2,修改客票证件,修改客票证件
呃我们订的票，需要报销能不能弄个电子发票发给我们，,申请及查询电子发票,40,配送行程单,申请及查询电子发票
我国际航班的变化，,查询航班动态或预订客票,16,查询航班动态,查询航班动态
啊因为我7月14号订一张机票乌鲁木齐到上海的然后上海到临沂说那张机票已经取消掉了我想问一下怎么退，转人工服务好吗？,办理航班退票,3,人工服务,办理航班退票
嗯航班，约定一下，,办理值机选座,22,查询航班动态或预订客票,办理客票改期
票号已经出来然后嗯请票号到登机口直接就可以登机了吧，,咨询登机口问题,56,验证电子客票,咨询登机口问题
我在买的联程联程的机票，这一天，改签那那一程的票为什么不能全退啊，,办理客票改期,2,办理航班退票,办理客票改期
那个我刚才收到那个短信，本来我是3月17号的飞机，他原来是4点20分，来了一个通知说改成两点二十分，然后现在又收到一个通知说航班取消，由于宴请，这个病情的情况是吧，,办理客票改期,2,查询航班动态,查询航班动态
遇老太太做去，行李拿两件行吗？,咨询托运及非托运行李规定,33,办理高龄老人,咨询托运及非托运行李规定
你好，目前我位置是在深圳，我我我原来预定了一班班机取消了，,查询航班动态,11,办理客票改期,办理客票改期
"就是我改那个原来订了一个机票然后他说那个,停飞了然后又给我改了一个,从西安到上海再从上海到新加坡,是国际航班的",验证电子客票,12,办理客票改期,办理客票改期
