text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
请问一下我有呃，人工养的蝎子可不可以带上飞机啊，,咨询特殊物品运输规定,8,咨询特殊物品运输规定,人工服务
我要接通，银行客服，,人工服务,13,咨询银行联名卡业务,咨询银行联名卡业务
"想咨询,十几岁的孩子可以,航空公司帮忙乘机吗",办理无成人陪伴儿童,18,咨询乘机证件规定,办理患病旅客
你好我今天办了一个改签，可是我，到机场打机票的时候他告诉我说我是退票，我不是在，东航ａｐｐ上做的是改签吗？,验证电子客票,12,办理客票改期,办理客票改期
帮我查查一下航班，,查询航班动态,11,查询航班动态或预订客票,查询航班动态或预订客票
呃四十五排就不靠不靠那个机翼是吧，,办理值机选座,22,办理值机选座,查询机型
咸阳到莎车之后一停，需要哪些证件，,咨询乘机证件规定,32,咨询乘机证件规定,查询航班动态或预订客票
查询机票变动，,验证电子客票,12,预订客票或验证电子客票,办理客票改期
呃我是那个，修改机票国际国际机票，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
***呃，向明辉的还没有出是吧,验证电子客票,12,验证电子客票,办理网站业务
积分儿补登,补登积分,39,补登积分,兑换积分
"行好我的护照买票了,收到一个是一个杠,那就是一个字,字母,帮我改签一下,飞机啊,班机",办理客票改期,2,修改客票证件,修改客票证件
我国际航班的变化，,查询航班动态或预订客票,16,查询航班动态,查询航班动态
嗯航班，约定一下，,办理值机选座,22,查询航班动态或预订客票,办理客票改期
那个我刚才收到那个短信，本来我是3月17号的飞机，他原来是4点20分，来了一个通知说改成两点二十分，然后现在又收到一个通知说航班取消，由于宴请，这个病情的情况是吧，,办理客票改期,2,查询航班动态,查询航班动态
我想查询一下我这张卡，,咨询银行联名卡业务,38,咨询银行联名卡业务,查询会员卡卡号
你好，目前我位置是在深圳，我我我原来预定了一班班机取消了，,查询航班动态,11,办理客票改期,办理客票改期
"就是我改那个原来订了一个机票然后他说那个,停飞了然后又给我改了一个,从西安到上海再从上海到新加坡,是国际航班的",验证电子客票,12,办理客票改期,办理客票改期
嗯，航班取消怎么回事，28号，航班取消，,查询航班动态,11,查询航班动态,办理客票改期
"我想问一下那个,今天下午的航班延误取消,我如何快速的到达目的地",办理客票改期,2,办理客票改期,查询航班动态
"呃麻烦您把,上海到成都明天的机票,呃就是选的位子帮我取消了",取消值机,36,取消值机,办理值机选座
我那个订了明天早上8点15从呃，清河到凤凰机场，那个呃机票你们有没有变动啊，,验证电子客票,12,验证电子客票,查询航班动态
我想了解一下订票的消息，,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
