text,intent,labelIndex,ERNIE(预训练模型),Bi-LSTM(非预训练模型)
请问一下我有呃，人工养的蝎子可不可以带上飞机啊，,咨询特殊物品运输规定,8,咨询特殊物品运输规定,人工服务
呃四十五排就不靠不靠那个机翼是吧，,办理值机选座,22,办理值机选座,查询机型
咸阳到莎车之后一停，需要哪些证件，,咨询乘机证件规定,32,咨询乘机证件规定,查询航班动态或预订客票
呃我是那个，修改机票国际国际机票，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
***呃，向明辉的还没有出是吧,验证电子客票,12,验证电子客票,办理网站业务
积分儿补登,补登积分,39,补登积分,兑换积分
我想查询一下我这张卡，,咨询银行联名卡业务,38,咨询银行联名卡业务,查询会员卡卡号
嗯，航班取消怎么回事，28号，航班取消，,查询航班动态,11,查询航班动态,办理客票改期
"我想问一下那个,今天下午的航班延误取消,我如何快速的到达目的地",办理客票改期,2,办理客票改期,查询航班动态
"呃麻烦您把,上海到成都明天的机票,呃就是选的位子帮我取消了",取消值机,36,取消值机,办理值机选座
我那个订了明天早上8点15从呃，清河到凤凰机场，那个呃机票你们有没有变动啊，,验证电子客票,12,验证电子客票,查询航班动态
我想了解一下订票的消息，,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
但是app和官网都无法补登,补登积分,39,补登积分,办理网站业务
为什么，最近航班取消，这么多，,办理客票改期,2,办理客票改期,查询航班动态
帮我接人工我要买国内机票，,预订客票,4,预订客票,人工服务
嗯我需我需要申请一下那个服务券，,办理服务犬,82,办理服务犬,办理轮椅旅客
APP查不到,办理网站业务,23,办理网站业务,查询航班动态
请问在网上能订婴儿票吗？,预订客票,4,预订客票,预订客票或兑换积分
嗯我需要更改我的那个机票，,办理客票改期,2,办理客票改期,修改客票或会员信息汇总
我想请问一下7月22号MU2374这个航班飞成都的，还有没有，无陪儿童的那个位置，,办理无成人陪伴儿童,18,办理无成人陪伴儿童,办理值机选座
不是之前订面机场情况，,咨询新冠肺炎防控要求,0,咨询新冠肺炎防控要求,查询航班动态
什么时候能开退票费？,申请及查询电子发票,40,申请及查询电子发票,办理航班退票
我要买一张机票，孩子自己走的那种，,办理无成人陪伴儿童,18,办理无成人陪伴儿童,预订客票
嗯对这是我女儿在国外，要宅家，现在就是退朝的那个嗯机票那个那个那个那个机票，,办理航班退票,3,办理航班退票,预订客票
我要咨询一下航班信息，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
麻烦你查一下明天去乌鲁木齐的飞机，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
更改航班，人工服务，,办理客票改期,2,办理客票改期,人工服务
就是，我给我给别人买了一个飞机票，他这个是要需要报销凭证凭证上呢，点，有三位的名头是吧，还有纳税人的识别，账号这些但是他现在说的开的这个发票，是个人名头，那我没办法回去报销啊，,申请及查询电子发票,40,申请及查询电子发票,配送行程单
唉你好那个我想问一下换票帮我看一下好吗,兑换积分,41,兑换积分,办理客票改期
我机票已经改过了现在我想退要不你换个的嘞，,办理航班退票,3,办理航班退票,办理客票改期
请问乘机需要开，特殊旅客乘机申请书还有风险告知确认书，这两份，,特殊服务汇总,85,特殊服务汇总,咨询新冠肺炎防控要求
名字出现错误了，已经购买购买完机票了，,修改客票姓名,27,修改客票姓名,修改客票或会员信息汇总
我3月1日订的，国际航班，烟台至首尔的现在，我想走，,办理客票改期,2,办理客票改期,查询航班动态
飞机禁带些怎么,咨询特殊物品运输规定,8,咨询特殊物品运输规定,查询航班动态
咨询一下呃买票的信息，,预订客票,4,预订客票,验证电子客票
"我在网站上打的那个行程单,钱都给了,什么时候发过来",查询行程单邮寄进度,17,查询行程单邮寄进度,申请及查询电子发票
就查一下我的机票改改到29号，,办理客票改期,2,办理客票改期,验证电子客票
我要看有没有母婴票，,预订客票,4,预订客票,验证电子客票
帮我不登记下机票,补登积分,39,补登积分,办理客票改期
我购买1月29号的机票为什么给我取消了，,办理客票改期,2,办理客票改期,查询航班动态
南京到昆明的机机票晚点，,办理客票改期,2,办理客票改期,查询航班动态
不用信用卡，国际航班的机票，,咨询银行联名卡业务,38,咨询银行联名卡业务,兑换积分
查询孩子单独座飞机,办理无成人陪伴儿童,18,办理无成人陪伴儿童,预订客票
嗯我想询问一下明天从长春飞往烟台的航班情况，,查询航班动态或预订客票,16,查询航班动态或预订客票,查询航班动态
"因为老人家长途飞机,希望能做靠前一些",办理值机选座,22,办理值机选座,办理高龄老人
我问一下那个东西有些东西能不能带上飞机，,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
麻烦你帮我看那个，嗯，订单发到我的QQ邮箱，好不好，我是国国际航班，,配送行程单,15,配送行程单,办理网站业务
可以打这个电话订机票吗？,预订客票,4,预订客票,预订客票或兑换积分
我我现在是从邯郸这里买机票到上海那里那个要转机到海口，我说我们那里机场现在正常不，,查询航班动态,11,查询航班动态,办理客票改期
***但是呢有可能打折，对不对，有可能你这个订，,预订客票或兑换积分,21,预订客票或兑换积分,预订客票
可以使用电子登机牌值机吗？,咨询登机牌问题,25,咨询登机牌问题,办理值机选座
嗯我的东航app账户里面的姓跟名是反的，怎么修改，,修改会员资料,14,修改会员资料,办理网站业务
哎您好我问一下您网上面有一个经济舱超级经济舱有什么区别,预订客票,4,预订客票,办理客票升舱
更改app账户名称，,修改会员资料,14,修改会员资料,办理网站业务
退机订票，,办理航班退票,3,办理航班退票,预订客票或兑换积分
老人坐飞机，嗯，车上插引流袋，是否可以乘坐，,办理患病旅客,81,办理患病旅客,办理高龄老人
我需要转机，一个小时的时间来得及吗？,咨询中转相关问题,5,咨询中转相关问题,咨询乘机时限
嗯嗯，退票费行程单，,申请及查询电子发票,40,申请及查询电子发票,办理航班退票
嗯现在坐飞机需要什么吗？,咨询乘机证件规定,32,咨询乘机证件规定,咨询新冠肺炎防控要求
你好 我刚定的机票 麻烦发个行程确认单到我邮件里,申请及查询电子发票,40,申请及查询电子发票,办理网站业务
我想问一下昨天那个机票啊，就是，我已经改签了改签了，今天我看到这个，嗯他给我寄信信息怎么好像那个改签的那个那个航班，就是明天的，1月16号下午1点20的怎么那个信息怎么，还在上面呢，,办理客票改期,2,办理客票改期,验证电子客票
你好呃我想问一下呃ａｐｐ里面能不能取消，多个客户的，值机服务，,取消值机,36,取消值机,办理客票改期
啊我的机票啊，没有飞机飞不去美国，你不要现在什么时候时间，可以飞的，,办理客票改期,2,办理客票改期,查询航班动态
我想问一下从加拿大到上海九月嗯4月18号那个机票，,验证电子客票,12,验证电子客票,预订客票或兑换积分
就是我已经注册过这个东航的会员，但是我的名字注册错了，,修改会员资料,14,修改会员资料,注册会员
2月9号上午，取消的航班有哪些，,查询航班动态,11,查询航班动态,办理客票改期
嗯我想订飞机票用手机进入那个东方航空怎么也订不了这个票到底是怎么回事，,预订客票,4,预订客票,预订客票或兑换积分
航班取消了，帮我接人工客服，,办理客票改期,2,办理客票改期,人工服务
我要，请问那个嗯就是现嗯，出行前的健康申明书的情况，想要接人工客服，,申请健康申明,49,申请健康申明,人工服务
能不能帮我查询一下马德里飞西安的机票，,预订客票或验证电子客票,45,预订客票或验证电子客票,预订客票或兑换积分
但我只想退去程,办理航班退票,3,办理航班退票,预订度假产品及酒店
"我们的飞机延误了,你你们不管他吗",办理客票改期,2,办理客票改期,投诉
我看看我的信息有没有，改签，,办理客票改期,2,办理客票改期,验证电子客票
你好现在一天，期间可以上信阳，可以上飞机吗？,查询航班动态或预订客票,16,查询航班动态或预订客票,咨询新冠肺炎防控要求
西安机场可以取行程单吗,查询机场或营业部信息,24,查询机场或营业部信息,申请及查询电子发票
我问一下那个明天就是明天五点的那个飞青岛的飞机那需要现在什么时候能取消，,办理航班退票,3,办理航班退票,查询航班动态
您字错，转人工，,人工服务,13,人工服务,修改客票或会员信息汇总
孩子的身份证和隔离证明遗失在机场，,查询遗失物品,34,查询遗失物品,咨询乘机证件规定
取消值机后 可以自助退票么?,办理航班退票,3,办理航班退票,取消值机
商城物品，转人工，,查询积分商城,65,查询积分商城,人工服务
但是我就是想知道现在行李去哪里了 你们扫描 或者登机什么的 每个环节不都是有记录吗 为什么查不到,查询遗失物品,34,查询遗失物品,咨询托运及非托运行李规定
"别搞柜台单位,呃机票升舱",办理客票升舱,72,办理客票升舱,申请及查询电子发票
退票时间，为何一拖再拖，,查询机票退款进度,6,查询机票退款进度,办理航班退票
你好我收到那个短信航班取消但是我的订单里面没有收到这个信息，请问这个什么情况，,办理客票改期,2,办理客票改期,查询航班动态
你好我这个卡的话，是今年十二月份二十号就该到期换卡了，我想更改一下当时预留的那个，寄卡地址，,修改会员资料,14,修改会员资料,咨询银行联名卡业务
嗯你好我那个信用卡我已经升到银卡了为什么现在他还要显示升级的银卡，,咨询银行联名卡业务,38,咨询银行联名卡业务,查询会员升级或保级
哎呀我这个用他证件号登登不上去，,办理网站业务,23,办理网站业务,咨询乘机证件规定
可以在登机时取行程单吗？,配送行程单,15,配送行程单,查询机场或营业部信息
请问一下呃11月27号从西安出发到上海还有机票吗，,预订客票,4,预订客票,预订客票或兑换积分
喂你好我想查一下，现在有去意大利的机票吗，什么时候有，,预订客票,4,预订客票,预订客票或兑换积分
呃我想问一下如果说我要更换电话号码联系方式的话我要去哪里更换呢,修改会员资料,14,修改会员资料,修改客票联系方式
需要更改姓名,修改会员资料,14,修改会员资料,修改客票或会员信息汇总
查询去机场的时间，,咨询乘机时限,31,咨询乘机时限,查询航班动态
问一下这个飞机晚点起飞一小时怎么办,办理客票改期,2,办理客票改期,查询航班动态
航程积分，,会员服务其他,28,会员服务其他,补登积分
"我是本来订好了票,完了之后那个,现在有一个婴儿,我该怎么办呢",预订客票或兑换积分,21,预订客票或兑换积分,办理客票改期
我说我预定的6月6号6月11号下午三点半的航班，这个票怎么，我在南宁这里，办理不了，,办理值机选座,22,办理值机选座,办理客票改期
我知道一个短信通知说我的机座位变更了我想知道是哪一班航班，,办理客票改期,2,办理客票改期,验证电子客票
嗯，乌鲁木齐飞机场，现在还需要做窗框吗？,咨询新冠肺炎防控要求,0,咨询新冠肺炎防控要求,查询航班动态
好的这位乘机人姓名是叫杨勇，九月二十七号宁波飞济南的，他这张客票又改期了是吗？,验证电子客票,12,验证电子客票,办理客票改期
嗯，你们有没有积分回退功能，,兑换积分,41,兑换积分,补登积分
航班是否停飞，,查询航班动态,11,查询航班动态,查询航班动态或预订客票
呃呃机票咨询，,预订客票或验证电子客票,45,预订客票或验证电子客票,验证电子客票
嗯用护照能不能在手机上订票，,预订客票或兑换积分,21,预订客票或兑换积分,咨询乘机证件规定
我们十一个人团，准备嗯，二十二号坐飞机去大连，,办理团队业务,61,办理团队业务,咨询乘机规定
我想订去国际的飞机票，,预订客票,4,预订客票,预订客票或兑换积分
意思就是说我这个机票，存，证件这个人买成功了没有，,验证电子客票,12,验证电子客票,咨询乘机证件规定
我家的那个航班没有取消为什么要取消我们的那个机票，,办理客票改期,2,办理客票改期,办理航班退票
带婴儿做飞机需要带什么东西，,咨询乘机证件规定,32,咨询乘机证件规定,咨询特殊物品运输规定
你快点开发票啊,申请及查询电子发票,40,申请及查询电子发票,配送行程单
您好能帮我查一下27号晚上七点钟从昆明长水机场飞无锡硕放机场还有票吗,预订客票,4,预订客票,预订客票或兑换积分
改机机票退票，,办理航班退票,3,办理航班退票,办理客票改期
请问接机的发票项目是开什么内容的，,申请及查询电子发票,40,申请及查询电子发票,配送行程单
我是想问一下就是说，肉可以办托运可以托运过去吗，办托运，,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
嗯我之前有团队退就是有有跟你们沟通了，退款的事情，我现在要跟你们确认，这样子，,办理航班退票,3,办理航班退票,办理团队业务
请问那个托运行李可以带菜刀托运吗？,咨询特殊物品运输规定,8,咨询特殊物品运输规定,咨询托运及非托运行李规定
目前能够从中国，有旅游护照能够从中国，飞往新西兰吗？,咨询乘机证件规定,32,咨询乘机证件规定,预订度假产品及酒店
嗯就是看问一下有没有快速通道，,咨询登机口问题,56,咨询登机口问题,查询机场或营业部信息
我不会查下，ａｐｐ下不了，到底能不能起飞了，,查询航班动态,11,查询航班动态,办理网站业务
那个我已经值机了我想退款啊退票，,取消值机,36,取消值机,办理航班退票
嗯退票，转人工服务，,人工服务,13,人工服务,办理航班退票
就是老老人他没有那个，智能手机还是以前老款的手机能能办理信用卡吗？,咨询银行联名卡业务,38,咨询银行联名卡业务,咨询新冠肺炎防控要求
你好通过官网给家人订机票积分算我的吗？,查询积分累积标准,78,查询积分累积标准,兑换积分
他又发了一个信息给我说，MU2788，航班取消是明天的呃贵阳龙洞堡飞往南京禄口的，,办理客票改期,2,办理客票改期,查询航班动态
全包，退改退签，人工服务，,办理客票改期,2,办理客票改期,人工服务
就是我们有一个那个那个MU2891的一个航班然后我们就是改了改了两遍然后那个航班都被取消了我想问一下是怎么回事，,办理客票改期,2,办理客票改期,查询航班动态
我订的是在从昆明长水机场到这个，腾冲机场，给我改到芒市机场了，我不想这样做，能不能退啊，,办理客票改期,2,办理客票改期,办理航班退票
我想咨询一下就是小孩子自己乘飞机需要办理什么手续，,办理无成人陪伴儿童,18,办理无成人陪伴儿童,咨询乘机证件规定
